Frage;Option A;Option B;Subkategorie A;Kategorie A;Subkategorie B;Kategorie B
Was macht eine Umgebung für dich schöner?;Wege, die dich zum Entspannen und Entdecken führen;weitläufige Wiesen, die an traditionelles Landleben erinnern;Recreational Potential (REC);Cultural services;Suitability for Agriculture (FF);Provisioning
Woran würdest du dich eher erfreuen?;ruhige Waldstücke mit geraden, hohen Bäumen;ein dichter, stiller Wald mit kraftvoller Atmosphäre;Wood Provision Potential (MAT);Provisioning;Carbon Stored Biomass (CAR);Regulation & maintaining
Was macht eine Umgebung für dich schöner?;eine Szenerie, die du sofort fotografieren willst;ein Bachlauf, der ruhig und klar wirkt;Picture Taking (LL);Cultural services;Sediment Retention (SR);Regulation & maintaining
Woran würdest du dich eher erfreuen?;ein Bachlauf, der ruhig und klar wirkt;weitläufige Wiesen, die an traditionelles Landleben erinnern;Sediment Retention (SR);Regulation & maintaining;Suitability for Agriculture (FF);Provisioning
Was würdest du eher fotografieren?;das Gefühl, tief durchatmen zu können;ein Blick, der dir den Atem raubt;Removal of PM10 by Vegetation (AIR);Regulation & maintaining;Picture Taking (LL);Cultural services
Was wirkt auf dich stimmungsvoller?;Wege, die dich zum Entspannen und Entdecken führen;eine frische, klare Luft, die durch viel Grün gefiltert scheint;Recreational Potential (REC);Cultural services;Removal of PM10 by Vegetation (AIR);Regulation & maintaining
Was wirkt auf dich stimmungsvoller?;offene, gepflegte Felder, die geordnet wirken;ein Moment, in dem du ein seltenes Wildtier entdeckst;Suitability for Agriculture (FF);Provisioning;Emblematic Species (ID);Cultural services
Was gibt dir eher ein gutes Gefühl?;eine frische, klare Luft, die durch viel Grün gefiltert scheint;Wälder, die nach Arbeit und Holz duften;Removal of PM10 by Vegetation (AIR);Regulation & maintaining;Wood Provision Potential (MAT);Provisioning
Was wirkt auf dich stimmungsvoller?;ein Blick, der dir den Atem raubt;offene, gepflegte Felder, die geordnet wirken;Picture Taking (LL);Cultural services;Suitability for Agriculture (FF);Provisioning
Was macht eine Umgebung für dich schöner?;Spuren von Tieren, die typisch für diese Landschaft sind;eine lebendige Vielfalt von Pflanzen und Tieren, die du kaum alle wahrnehmen kannst;Emblematic Species (ID);Cultural services;Habitat Quality (HAB);Regulation & maintaining
Was macht eine Umgebung für dich schöner?;ein Bachlauf, der ruhig und klar wirkt;ein Ort, der zur Rast und zum Verweilen einlädt;Sediment Retention (SR);Regulation & maintaining;Recreational Potential (REC);Cultural services
Woran würdest du dich eher erfreuen?;ein Blick, der dir den Atem raubt;ruhige Waldstücke mit geraden, hohen Bäumen;Picture Taking (LL);Cultural services;Wood Provision Potential (MAT);Provisioning
Woran würdest du dich eher erfreuen?;Ufer, die fest und natürlich erscheinen;ein Moment, in dem du ein seltenes Wildtier entdeckst;Sediment Retention (SR);Regulation & maintaining;Emblematic Species (ID);Cultural services
Woran würdest du dich eher erfreuen?;Wälder, die nach Arbeit und Holz duften;ein wilder, artenreicher Ort voller Leben;Wood Provision Potential (MAT);Provisioning;Habitat Quality (HAB);Regulation & maintaining
Was gibt dir eher ein gutes Gefühl?;plätschernde Quellen und feuchte Lichtungen;Wege, die dich zum Entspannen und Entdecken führen;Annual Water Yield (WY);Provisioning;Recreational Potential (REC);Cultural services
Was wirkt auf dich stimmungsvoller?;ein Ort, der zur Rast und zum Verweilen einlädt;ein wilder, artenreicher Ort voller Leben;Recreational Potential (REC);Cultural services;Habitat Quality (HAB);Regulation & maintaining
Was gefällt dir mehr in einer Landschaft?;offene, gepflegte Felder, die geordnet wirken;ein wilder, artenreicher Ort voller Leben;Suitability for Agriculture (FF);Provisioning;Habitat Quality (HAB);Regulation & maintaining
Woran würdest du dich eher erfreuen?;Spuren von Tieren, die typisch für diese Landschaft sind;plätschernde Quellen und feuchte Lichtungen;Emblematic Species (ID);Cultural services;Annual Water Yield (WY);Provisioning
